"","time","sentiment","sentsmooth","twfav","twret","reservasbcra","tasaint","basemon","tcdolar","casosarg","muertosarg","vacunasarg","maxtemp","mintemp","casosmundo","muertesmundo","sentiment_trend_orig","sent_trends"
"2","2019-12-11",0.42356667,0.4265441,23246,3223.25,43912,42.209999,1724751,73.160004,0,0,0,36,23,0,0,0.250001120050017,0.25785556
"3","2019-12-13",0.00000020035534,0.42505538,123669,17344,44248,42.669998,1671608,70.379997,0,0,0,26,14,0,0,0.240397292294966,0.24817608
"4","2019-12-16",0.32610023,0.00000020035534,21849.666,5316.3335,44225,41.389999,1734333,73.110001,0,0,0,27,18,0,0,0.215133480870062,0.27111447
"5","2019-12-17",0.0000000055511262,0.16305022,8859,2514,44294,41.310001,1736181,73.120003,0,0,0,31,19,0,0,0.166924368735711,0.2520389
"6","2019-12-18",0.016903164,0.16305012,11175.25,2450.5,44320,41.790001,1767520,71.489998,0,0,0,32,19,0,0,0.231295928586736,0.23367067
"7","2019-12-19",0.00012700263,0.11433446,10978.6,2354.2,44561,40.84,1776689,70.93,0,0,0,34,20,0,0,0.204812972941882,0.20754547
"8","2019-12-20",0.036580671,0.085782602,6395.875,1614.875,44788,38.27,1831542,71.089996,0,0,0,23,19,0,0,0.178691479154062,0.20454168
"9","2019-12-21",0.19880575,0.013402711,16289,2380,44788,38.27,1831542,71.089996,0,0,0,24,14,0,0,0.292621435115346,0.19543119
"10","2019-12-23",0.31249857,0.078504473,7924.3335,1476.6666,44839,40.009998,1896649,72.610001,0,0,0,32,17,0,0,0.267486284411668,0.22628549
"11","2019-12-24",0.0012687127,0.18262833,31644,6714,44839,40.009998,1896649,72.610001,0,0,0,34,18,0,0,0.330384603131511,0.24195382
"12","2019-12-27",0.54584867,0.15688364,18978.334,2699.6667,45190,38.75,1829109,72.089996,0,0,0,33,21,0,0,0.12361875577061,0.25265989
"13","2019-12-28",0.0014783383,0.27355868,14072,3093,45190,38.75,1829109,72.089996,0,0,0,33,25,0,0,0.3177551277918,0.216693
"14","2019-12-30",0.00000025423779,0.27366349,20354,4680,44848,38.049999,1895381,72.43,0,0,0,25,23,0,0,0.124178713274994,0.23971814
"15","2019-12-31",0.65308356,0.18244243,34810,8274,44848,38.049999,1895381,72.43,0,0,0,28,22,0,0,0.277936131835128,0.22827493
"16","2020-01-03",0.0010788449,0.3265419,14799.667,4044.6667,44872,37.080002,1834617,75.879997,0,0,0,30,20,0,0,0.371991928846641,0.21848254
"17","2020-01-04",0.0029124497,0.3270812,6879.5,1760,44872,37.080002,1834617,75.879997,0,0,0,32,22,0,0,0.313635991916006,0.28043583
"18","2020-01-06",0.000052637512,0.0019956473,81972,7205,44904,37.009998,1721191,75.800003,0,0,0,28,19,0,0,0.2761338855074,0.32543021
"19","2020-01-08",0.0000050858525,0.0014825435,18836,3551,45162,36.369999,1642612,74.809998,0,0,0,37,23,0,0,0.284404515335044,0.29156536
