date,favourite,retweet,pred,ma4
2019-12-10,43027.602,6731,.4265441,
2019-12-11,23246,3223.25,.42356667,.4265441
2019-12-13,123669,17344,2.0035534e-07,.42505538
2019-12-16,21849.666,5316.3335,.32610023,2.0035534e-07
2019-12-17,8859,2514,5.5511262e-09,.16305022
2019-12-18,11175.25,2450.5,.016903164,.16305012
2019-12-19,10978.6,2354.2,.00012700263,.11433446
2019-12-20,6395.875,1614.875,.036580671,.085782602
2019-12-21,16289,2380,.19880575,.013402711
2019-12-23,7924.3335,1476.6666,.31249857,.078504473
2019-12-24,31644,6714,.0012687127,.18262833
2019-12-27,18978.334,2699.6667,.54584867,.15688364
2019-12-28,14072,3093,.0014783383,.27355868
2019-12-30,20354,4680,2.5423779e-07,.27366349
2019-12-31,34810,8274,.65308356,.18244243
2020-01-03,14799.667,4044.6667,.0010788449,.3265419
2020-01-04,6879.5,1760,.0029124497,.3270812
2020-01-06,81972,7205,.000052637512,.0019956473
2020-01-08,18836,3551,5.0858525e-06,.0014825435
2020-01-11,19765,5931,5.8067890e-06,5.0858525e-06
2020-01-13,12759.667,2699,.00001712204,5.8067890e-06
2020-01-16,14220,4138,.000083197403,.00001712204
2020-01-17,16487,3766,2.2144245e-07,.000050159721
2020-01-21,11480.5,1997,1.4231850e-09,2.2144245e-07
2020-01-22,8807.5,1491,.24901269,1.4231850e-09
2020-01-23,9656.4287,1790.2858,.055827402,.12450635
2020-01-27,11595.5,3053,.000014779788,.055827402
2020-01-28,6466,1331.5,.017989604,.000014779788
2020-01-29,9430,2355,.0021269359,.0090021919
2020-01-30,2064,547.5,.066989563,.0067104399
2020-01-31,8010.3335,1758,.00022447378,.021780221
2020-02-01,15605.5,3209.5,.0077219466,.021832645
2020-02-03,11656,2492,.00033904464,.024978662
2020-02-04,6252,1313,.031450894,.0027618217
2020-02-05,8798,1821,.000025891883,.013170628
2020-02-07,14812,3396,.051556431,.010605277
2020-02-13,14555.5,1674.5,.35988492,
2020-02-14,18269,4190,2.2127469e-09,.35988492
2020-02-15,7628,1797,5.3584051e-07,.17994246
2020-02-16,8815,3263.5,7.8274525e-06,.11996182
2020-02-18,16570,6608,1.3100103e-08,2.7885019e-06
2020-02-19,33858,5022,.90970564,2.7921310e-06
2020-02-20,8707,2411,.056323957,.30323783
2020-02-21,6462.5,1690,.0021079478,.32200986
2020-02-22,6116,742,1.3956223e-06,.24203439
2020-02-24,4468.8887,997.55554,.000067674169,.019477766
2020-02-25,22621.5,5579.5,7.0646006e-06,.00072567252
2020-02-26,8652,2355,6.3232528e-06,.000025378131
2020-02-27,6869.5,1531,.01261878,.000027020675
2020-02-28,7541.5,2006,.000014460339,.0031749606
2020-02-29,8305.667,3129.8333,.00046570093,.0031616571
2020-03-01,6925,1567,.43849015,.0032763162
2020-03-02,16122,3971,.038645782,.11289728
2020-03-03,3086,632,.00016344288,.11940403
