"V2","V3"
"10/12/2019",42.75
"11/12/2019",42.21
"12/12/2019",41.55
"13/12/2019",42.67
"16/12/2019",41.39
"17/12/2019",41.31
"18/12/2019",41.79
"19/12/2019",40.84
"20/12/2019",38.27
"23/12/2019",40.01
"26/12/2019",38.71
"27/12/2019",38.75
"30/12/2019",38.05
"02/01/2020",37.74
"03/01/2020",37.08
"06/01/2020",37.01
"07/01/2020",37.17
"08/01/2020",36.37
"09/01/2020",37.24
"10/01/2020",36.75
"13/01/2020",35.7
"14/01/2020",35.98
"15/01/2020",35.06
"16/01/2020",35.7
"17/01/2020",35.25
"20/01/2020",33.97
"21/01/2020",34.8
"22/01/2020",34.39
"23/01/2020",34.31
"24/01/2020",34.01
"27/01/2020",33.22
"28/01/2020",33.8
"29/01/2020",33.61
"30/01/2020",33.65
"31/01/2020",33.56
"03/02/2020",33.08
"04/02/2020",33.48
"05/02/2020",33.56
"06/02/2020",33.71
"07/02/2020",32.69
"10/02/2020",33.4
"11/02/2020",33.92
"12/02/2020",33.18
"13/02/2020",33.92
"14/02/2020",32.7
"17/02/2020",33.38
"18/02/2020",33.21
"19/02/2020",30.92
"20/02/2020",32.49
"21/02/2020",31.42
"26/02/2020",30.16
"27/02/2020",31.01
"28/02/2020",30.63
"02/03/2020",30.39
"03/03/2020",30.46
"04/03/2020",29.25
"05/03/2020",29.63
"06/03/2020",28.76
"09/03/2020",28.32
"10/03/2020",28.89
"11/03/2020",29.2
"12/03/2020",28.94
"13/03/2020",27.82
"16/03/2020",27.8
"17/03/2020",28.73
"18/03/2020",28.64
"19/03/2020",28.58
"20/03/2020",25.75
"25/03/2020",28.67
"26/03/2020",28.9
"27/03/2020",26.84
"30/03/2020",27.18
"01/04/2020",25.85
"02/04/2020",25.97
"03/04/2020",25.36
"06/04/2020",25.42
"07/04/2020",24.07
"08/04/2020",22.14
"13/04/2020",20.87
"14/04/2020",20.28
"15/04/2020",18.68
"16/04/2020",18.5
"17/04/2020",18.38
"20/04/2020",20.59
"21/04/2020",20.25
"22/04/2020",19.09
"23/04/2020",19.24
"24/04/2020",21.01
"27/04/2020",20.77
"28/04/2020",20.78
"29/04/2020",20.81
"30/04/2020",18.95
"04/05/2020",20.96
"05/05/2020",21.49
"06/05/2020",22.1
"07/05/2020",21.5
"08/05/2020",21.61
"11/05/2020",22.63
"12/05/2020",21.71
"13/05/2020",22.19
"14/05/2020",22.04
"15/05/2020",23.19
"18/05/2020",25.33
"19/05/2020",24.83
"20/05/2020",24.35
"21/05/2020",26.34
"22/05/2020",25.98
"26/05/2020",25.49
"27/05/2020",25.18
"28/05/2020",25.86
"29/05/2020",25.31
"01/06/2020",28.52
"02/06/2020",28.09
"03/06/2020",27.96
"04/06/2020",28.94
"05/06/2020",28.68
"08/06/2020",28.91
"09/06/2020",28.06
