"","time","sentsmooth","ARIMA","ARIMAX","ETS","ADL","VAR","FAVAR"
"2021-04-14","2021-04-14",0.07686656,0.157139319417895,0.150406437945545,0.232663118289572,0.19079778632588,0.276726821428324,0.153602750004741
"2021-04-15","2021-04-15",0.12287351,0.16860742163685,0.216040068181873,0.267827703195867,0.266965835249627,0.263171645270826,0.151742933525327
"2021-04-16","2021-04-16",0.1199697,0.162590200397685,0.233925434886363,0.21662039139406,0.260297149507282,0.227262273465704,0.143671886166293
"2021-04-17","2021-04-17",0.15440036,0.154474693976884,0.205701724719821,0.186970734497142,0.224841023528811,0.201963541969882,0.16067334056003
"2021-04-18","2021-04-18",0.17518094,0.148159797246988,0.156370479887494,0.0747201441410572,0.182659895272148,0.117251564311344,0.152843658362887
"2021-04-19","2021-04-19",0.15000556,0.140353543920217,0.0895281971202914,0.045374530163368,0.130148006943903,0.0695222734031329,0.140821660107114
"2021-04-20","2021-04-20",0.18124413,0.142379523132933,0.0814439823210499,0.075990654170716,0.0983218986936754,0.0562349258691736,0.156528526679102
"2021-04-21","2021-04-21",0.16336416,0.144546873855595,0.102532304312905,0.121821794776502,0.114666743555134,0.155267201896539,0.172744320707134
"2021-04-22","2021-04-22",0.14125325,0.146219381105195,0.154164622605531,0.120014325479691,0.144321249022411,0.0889666004323273,0.157249939407249
"2021-04-23","2021-04-23",0.13073809,0.155043369138935,0.138048620789773,0.153481470487781,0.142692548515483,0.122500497536627,0.172434667126459
"2021-04-24","2021-04-24",0.12577307,0.155878986694725,0.145692828018195,0.174665896922697,0.161551129631181,0.141267774262472,0.187842645894864
"2021-04-25","2021-04-25",0.16232166,0.151077185070289,0.163923903244342,0.150594826424957,0.177652798245926,0.145610708813153,0.175439733749947
"2021-04-26","2021-04-26",0.21815951,0.152227974404616,0.163884943941237,0.180488771815001,0.166081461904456,0.134382696331953,0.178009851296196
"2021-04-27","2021-04-27",0.25823468,0.149943551334344,0.168894609757849,0.163612563603472,0.147148187558722,0.122541879041056,0.170827665957265
"2021-04-28","2021-04-28",0.31495714,0.151516128401831,0.149026771375429,0.141539580825718,0.143127689881742,0.142396947170592,0.16587704967677
"2021-04-29","2021-04-29",0.41456071,0.1308589149164,0.141515161097839,0.130885258293816,0.149860757472522,0.111084417311761,0.179289331493258
"2021-04-30","2021-04-30",0.35934493,0.150587442451427,0.127482153336506,0.125843404804806,0.135564625525638,0.132091011587354,0.177862771773155
"2021-05-01","2021-05-01",0.34117392,0.153898698459677,0.13291501547943,0.16181529642608,0.139049324112137,0.14157487939211,0.201268098287347
"2021-05-02","2021-05-02",0.27775753,0.153134894691411,0.166092985819095,0.217474035826947,0.151645148721517,0.132315453828032,0.208041774112073
"2021-05-03","2021-05-03",0.18903646,0.155011707639702,0.213410176815988,0.257823416303814,0.194925750815414,0.143978443463343,0.20251068762883
"2021-05-04","2021-05-04",0.28398973,0.159998620242485,0.239656569076217,0.314495142857192,0.231821728217915,0.148724031501716,0.206926020556792
"2021-05-05","2021-05-05",0.25122479,0.168433261666318,0.274551030559827,0.414240066428931,0.285327929091878,0.183459459382267,0.217170540970827
"2021-05-06","2021-05-06",0.23423366,0.168238401608686,0.352397873313372,0.359778795141976,0.334732209670119,0.183689595730945,0.205177843457795
"2021-05-07","2021-05-07",0.18705948,0.159857801347247,0.308912609720587,0.34130705998367,0.304928396903764,0.157067014274509,0.200800332643958
"2021-05-08","2021-05-08",0.13168669,0.163670501935846,0.274313999414566,0.277764029466186,0.246009211990366,0.157750732012399,0.199978637815883
"2021-05-09","2021-05-09",0.13737048,0.165099457357859,0.203682264864217,0.189045421834383,0.213942133273436,0.164516140576292,0.185776771855455
"2021-05-10","2021-05-10",0.36257479,0.168685672844076,0.180752918402969,0.283584526219398,0.208101363218905,0.178543521065014,0.22941020362969
"2021-05-11","2021-05-11",0.36790204,0.155508017676004,0.258804849615212,0.251436758007956,0.266314791452295,0.204382137416594,0.228144085068372
"2021-05-12","2021-05-12",0.36928993,0.157543438637197,0.227726466381994,0.234338711712117,0.234735002020569,0.217088784798642,0.237317539668585
"2021-05-13","2021-05-13",0.40623012,0.161654905509301,0.212951526689263,0.187313973860881,0.231444793837656,0.174882682003995,0.193784814306974
"2021-05-14","2021-05-14",0.17054038,0.151214919746108,0.138604116687809,0.131866934440378,0.191296019723585,0.176199259924992,0.181515831362437
"2021-05-15","2021-05-15",0.17657058,0.155421001271688,0.148965039612747,0.13735171757683,0.104664368418509,0.165818904640392,0.190917756873631
"2021-05-16","2021-05-16",0.13739233,0.18056497223326,0.141608696166613,0.36208519921851,0.200555461070108,0.190484815884518,0.246262351868834
"2021-05-17","2021-05-17",0.093896523,0.19997590445944,0.329024878033675,0.36789533714653,0.375761043146534,0.216302875127874,0.270259020265563
"2021-05-18","2021-05-18",0.10714662,0.15356451056043,0.325564826529615,0.369289378631794,0.334315376310517,0.217243378657968,0.276132744680002
"2021-05-19","2021-05-19",0.10941686,0.163422411264114,0.321481696509493,0.406226425284688,0.344469742514438,0.272199641575155,0.273758763565899
"2021-05-20","2021-05-20",0.12246677,0.158282763006827,0.284168058967555,0.170563977487135,0.300751351633184,0.210444367240875,0.210212695408844
"2021-05-21","2021-05-21",0.15464815,0.164861032142498,0.147648293592816,0.176569978879437,0.173296916823736,0.181718730249766,0.184927848037292
"2021-05-22","2021-05-22",0.1507445,0.163243017272447,0.155108970551161,0.137396249486097,0.150805563740654,0.182268609552466,0.180778040068557
"2021-05-23","2021-05-23",0.13033488,0.170595943052225,0.114102764317523,0.0939008748837196,0.151556278816097,0.141507106124505,0.182513328884804
"2021-05-24","2021-05-24",0.080171578,0.162914639604182,0.14290644469392,0.107145293563293,0.131491898176574,0.10452946242305,0.185555372724096
"2021-05-25","2021-05-25",0.070889689,0.162711572715357,0.10936507333183,0.109416632717593,0.119115851186471,0.0899000468910451,0.192753787150988
"2021-05-26","2021-05-26",0.11252885,0.162454850767093,0.123242512554322,0.122465464860324,0.118337559469761,0.0339343261370775,0.202229881193564
"2021-05-28","2021-05-28",0.10749216,0.162824490272401,0.1360814298774,0.15464492693636,0.136454060033953,0.0761267262835811,0.198769618381185
"2021-05-29","2021-05-29",0.090428516,0.160980316539757,0.173381830973144,0.150744890518711,0.156287017726071,0.125608377228351,0.198892123229322
"2021-05-30","2021-05-30",0.055231422,0.161051014299541,0.155367850295014,0.130336921361604,0.135317700126008,0.151924594526633,0.20578916448534
"2021-05-31","2021-05-31",0.053955812,0.160136461594994,0.134890802946962,0.0801766106691998,0.121110680597584,0.0668125968915329,0.203736810933493
"2021-06-01","2021-06-01",0.087134965,0.161709058888596,0.0806170147378455,0.0708906185090352,0.0762089464191077,0.0715145744468331,0.226596773229157
"2021-06-02","2021-06-02",0.11460894,0.148489980596547,0.0877061112949558,0.112524682853957,0.0799214192594498,0.0985431918843941,0.212997003471002
"2021-06-03","2021-06-03",0.17982164,0.160270839988696,0.13335818801212,0.107492663307742,0.132781883719545,0.0426162363940545,0.21202688789018
"2021-06-04","2021-06-04",0.22480762,0.160299656981213,0.14340919337964,0.0904302444282525,0.0702032575681402,0.0706342585522841,0.225845516883196
"2021-06-05","2021-06-05",0.21042114,0.149821754639239,0.113401317760384,0.0552349538452783,0.0981684545302685,0.0275378835782422,0.199508894278157
